,X-coord,Y-coord,w
248,-1.8620415537190083,10.182216198347108,13.0
249,-0.9265275613915416,10.175412346521146,13.0
250,0.9267598129887795,10.175682420945257,13.0
251,1.8623745496997999,10.182284523015344,13.0
252,2.7977164962508523,10.192747443762782,13.0
253,3.7325640630238017,10.20774589339591,13.0
254,4.666483894878707,10.226749326145551,13.0
255,5.599827144333449,10.250572511195315,13.0
256,6.532105593922652,10.278231008287293,13.0
257,7.462947961956521,10.310734375000001,13.0
258,8.392301764506279,10.347198506956227,13.0
259,9.320357103825136,10.38760211748634,13.0
