,X-coord,Y-coord,w
63,-6.261380952380953,-3.3145904761904768,4.0
64,-5.3681206896551705,-3.349093103448276,4.0
65,-4.47358695652174,-3.3768999999999996,4.0
66,-3.576203571428571,-3.3970142857142855,4.0
67,-2.681276470588235,-3.4145205882352943,4.0
68,-1.7843230769230773,-3.4280230769230764,4.0
69,-0.8866872727272728,-3.4347545454545454,4.0
70,0.8887744000000001,-3.4371159999999996,4.0
71,1.7848612903225802,-3.4283903225806456,4.0
72,2.682690476190476,-3.4160999999999992,4.0
73,3.577542424242424,-3.39850303030303,4.0
74,4.474742857142858,-3.375723809523809,4.0
75,5.367164516129034,-3.3470580645161294,4.0
76,6.263141176470588,-3.31455294117647,4.0
77,7.156594871794871,-3.278605128205128,4.0
78,8.050724137931034,-3.2352103448275864,4.0
79,8.941192857142857,-3.1879500000000003,4.0
80,-9.031297484276728,-1.6217264150943393,5.0
81,-8.1302677852349,-1.6698953020134228,5.0
82,-7.229140131578948,-1.7127532894736843,5.0
83,-6.326288387096774,-1.7504870967741937,5.0
84,-5.422274172185431,-1.78101059602649,5.0
85,-4.5178586956521745,-1.8100065217391303,5.0
86,-3.6129481751824817,-1.8323598540145984,5.0
87,-2.7087326797385622,-1.8497130718954244,5.0
88,-1.8028609271523182,-1.861229801324503,5.0
89,-0.8963735810810812,-1.8690101351351351,5.0
90,0.8972889393939395,-1.869230303030303,5.0
91,1.8019781250000002,-1.8611695312499998,5.0
92,2.7082090225563906,-1.850205263157895,5.0
93,3.613961764705883,-1.8322389705882354,5.0
94,4.517993142857143,-1.809235428571429,5.0
95,5.421560305343512,-1.7818335877862597,5.0
96,6.326205806451612,-1.7494954838709675,5.0
97,7.229423026315789,-1.7123506578947367,5.0
98,8.131171621621622,-1.6698135135135135,5.0
99,9.031955905511808,-1.6214606299212602,5.0
100,-9.1035,-0.017538803125000002,6.0
101,-8.19454,-0.06389444,6.0
102,-7.2853,-0.10603055263157896,6.0
103,-6.3758484848484835,-0.14403818181818182,6.0
104,-5.467951612903224,-0.1752812903225807,6.0
105,-4.554053333333333,-0.20355833333333334,6.0
106,-3.6424923076923075,-0.22615615384615387,6.0
107,-2.728096,-0.2422908,6.0
108,-1.8178299999999998,-0.2531096666666667,6.0
109,-0.9043590625,-0.261235,6.0
110,0.9050234615384615,-0.2636011538461539,6.0
111,1.8163,-0.2534041463414634,6.0
112,2.729766666666667,-0.24404363636363638,6.0
113,3.6413392857142854,-0.22582035714285717,6.0
114,4.557799999999999,-0.20007380952380954,6.0
115,5.467632142857143,-0.17593357142857144,6.0
116,6.37398,-0.14403960000000002,6.0
117,7.285426315789474,-0.10579794736842106,6.0
118,8.195174074074073,-0.06454655555555557,6.0
119,9.101341860465118,-0.017301767441860468,6.0
120,-9.160415151515151,1.6158545454545454,7.0
121,-8.245832142857143,1.5708321428571426,7.0
122,-7.332858064516128,1.530864516129032,7.0
123,-6.415325925925925,1.4940814814814813,7.0
124,-5.499305714285715,1.4600257142857143,7.0
